n_formigas,alfa,beta,taxa_evaporacao,simulacao,n_populacao,taxa_crossover,taxa_mutacao,tamanho_torneio,elit_pct
99,4.1844494956452145,8.894272618720798,0.34116855286285497,1,106,0.8358244486240991,0.09574242062402659,5,0.38276232906084495
23,3.1969194504769805,4.4671497426820865,0.4850762220598866,2,234,0.8204955441192039,0.20436418070841691,8,0.2986198456248418
82,0.6612931089043118,2.1306628177819067,0.5805732086565792,3,99,0.8744292940044606,0.014806840463975802,4,0.2866226343204691
94,0.7280684680949728,9.969009272210554,0.49307592915414694,4,273,0.6433781660851937,0.23488085482316876,5,0.3525473342403512
68,2.8632872954450903,6.563551319452067,0.132937318004518,5,36,0.561858189612748,0.06990879059268153,12,0.09528864660117049
22,4.371062822756163,7.957263717780446,0.2295430585384199,6,230,0.5166133115985092,0.1370868588702638,6,0.252126780418703
30,4.469846270331526,8.546799510966457,0.3580741557781855,7,193,0.6108129961070263,0.10310225239255855,12,0.1822121776754897
51,0.346553060129112,7.15829714059683,0.4566491692578638,8,278,0.6479480313978658,0.06195728852213222,5,0.07813207440212701
87,3.062684747440429,8.627773997698519,0.24470821189814027,9,64,0.5496669287215769,0.05708992046939933,9,0.03206709607944192
75,2.268369045861493,2.977957815858542,0.3435448097431373,10,75,0.603845008648388,0.1661135015688209,12,0.06154409900655629
42,3.334819876839317,9.507697614081978,0.5301957036815846,11,116,0.7587970550920997,0.010563922686749359,10,0.04291793384854947
64,1.8110566546482656,2.8235126945887283,0.3036498864186811,12,254,0.5878164336897846,0.21072937764121413,8,0.15675418797058563
57,1.3831152128303146,4.949200826177724,0.4460056562608469,13,117,0.5602115615175427,0.030130429168055643,9,0.12774611267199976
20,0.13104223080269906,2.3526535115923632,0.22370936987169704,14,185,0.6869763171357018,0.19940881497058122,13,0.03862531304430706
78,2.390413168139831,4.60774182701685,0.3179124272566138,15,78,0.8242365885425103,0.28204397907801954,6,0.07997667890332438
52,4.605691628589899,7.456912875041669,0.25380865067412456,16,264,0.6474825624968933,0.23410142504558193,13,0.32448644071635746
50,1.341887460936776,6.295967135553292,0.12133066944214305,17,283,0.8778374452554241,0.06125579388460019,9,0.3927909151707465
31,3.5376600847927615,9.719068737944625,0.5572789681002025,18,111,0.8385110562597615,0.21466143683092456,9,0.06019958208995866
47,2.9947536965192603,4.995475275324798,0.242293983503707,19,217,0.6149214718499689,0.21346615311732778,8,0.3654793951643409
45,4.065756609077838,8.095986710628928,0.062047500056627215,20,181,0.6630552749557787,0.25977370502420516,9,0.24161524093418021
57,3.817108704378944,7.193673816538006,0.11669148597725444,21,238,0.5645201171464757,0.017920239011562145,15,0.07408849963841369
54,2.7357587654822,9.975498765844632,0.20855749243415167,22,203,0.8298202553991425,0.02181832753144645,6,0.024038959041382466
80,2.273144880601994,2.0336291910755815,0.17065917097870412,23,33,0.8799190546540819,0.2996082130127548,6,0.21352929088682432
33,1.5975329959921272,2.932286391197669,0.3954881332700598,24,95,0.800096592188066,0.11048416111321471,7,0.04694907646371903
26,2.5740705153953516,7.082937946880914,0.07138248037791578,25,154,0.8781400613593782,0.265474666703658,8,0.29918335433045523
64,2.0663714350443274,4.957607170346864,0.20471818593736485,26,265,0.737868055515067,0.015556642743340187,4,0.09736494217112893
