geracao,melhor_geracao,melhor_global,media_geracao,pior_geracao,std_geracao,soma_preferencias_melhor,penalidade_carga_melhor,penalidade_conflito_melhor,penalidade_carga_total,penalidade_conflito_total,melhoria_relativa,tempo_geracao_seg,stagnation_count,execucao
1,131,131,123.96,113,4.2565713902153695,131.0,0.0,0.0,0.0,0.0,0.0,0.18478919999961363,0,1
2,133,133,125.56,118,3.9757263487317633,133.0,0.0,0.0,0.0,0.0,0.0,0.19298989999970217,0,1
3,131,133,125.98,117,3.6358767855910625,131.0,0.0,0.0,0.0,0.0,-2.0,0.16918560000067373,1,1
4,133,133,125.92,114,3.767439448750305,133.0,0.0,0.0,0.0,0.0,0.0,0.16774100000020553,2,1
5,133,133,126.92,120,3.058365576578444,133.0,0.0,0.0,0.0,0.0,0.0,0.1838119000003644,3,1
6,133,133,127.46,117,3.5620780451865457,133.0,0.0,0.0,0.0,0.0,0.0,0.17559710000023188,4,1
7,133,133,127.0,119,3.4583232931581165,133.0,0.0,0.0,0.0,0.0,0.0,0.17101999999977124,5,1
8,133,133,127.94,121,3.1900470215970174,133.0,0.0,0.0,0.0,0.0,0.0,0.22852479999983188,6,1
9,133,133,128.56,121,2.6469605210505125,133.0,0.0,0.0,0.0,0.0,0.0,0.37574790000053326,7,1
10,133,133,129.34,123,2.2592919244754537,133.0,0.0,0.0,0.0,0.0,0.0,0.2849658000004638,8,1
11,133,133,128.94,122,2.8313247782619357,133.0,0.0,0.0,0.0,0.0,0.0,0.17559450000044308,9,1
12,133,133,128.26,120,2.575344637131116,133.0,0.0,0.0,0.0,0.0,0.0,0.16967730000033043,10,1
13,133,133,130.04,126,2.0972362766269326,133.0,0.0,0.0,0.0,0.0,0.0,0.17788199999995413,11,1
14,133,133,129.36,123,2.8758303148829905,133.0,0.0,0.0,0.0,0.0,0.0,0.1683339999999589,12,1
15,133,133,130.28,127,2.01037309970065,133.0,0.0,0.0,0.0,0.0,0.0,0.19206690000009985,13,1
16,133,133,130.52,121,2.4268498099388016,133.0,0.0,0.0,0.0,0.0,0.0,0.16318080000019108,14,1
17,133,133,130.56,126,2.2374986033515194,133.0,0.0,0.0,0.0,0.0,0.0,0.1586325999996916,15,1
18,133,133,130.6,123,2.5845695966640174,133.0,0.0,0.0,0.0,0.0,0.0,0.1700831999996808,16,1
19,133,133,130.86,123,2.1072256642324763,133.0,0.0,0.0,0.0,0.0,0.0,0.1718959999998333,17,1
20,133,133,130.9,126,2.071231517720798,133.0,0.0,0.0,0.0,0.0,0.0,0.26426050000009127,18,1
21,133,133,131.76,127,1.6438978070427614,133.0,0.0,0.0,0.0,0.0,0.0,0.24354149999999208,19,1
22,133,133,131.7,124,1.9104973174542799,133.0,0.0,0.0,0.0,0.0,0.0,0.2113059000002977,20,1
23,133,133,131.84,127,1.6044936896105262,133.0,0.0,0.0,0.0,0.0,0.0,0.19134829999984504,21,1
24,133,133,131.88,126,1.716275036233995,133.0,0.0,0.0,0.0,0.0,0.0,0.21055359999991197,22,1
25,133,133,131.8,127,1.6370705543744901,133.0,0.0,0.0,0.0,0.0,0.0,0.18193600000086008,23,1
26,133,133,132.0,127,1.4422205101855958,133.0,0.0,0.0,0.0,0.0,0.0,0.2132344000001467,24,1
27,133,133,132.28,127,1.4147791347061915,133.0,0.0,0.0,0.0,0.0,0.0,0.41948969999975816,25,1
28,133,133,132.44,128,1.2986146464598343,133.0,0.0,0.0,0.0,0.0,0.0,0.22682670000085636,26,1
29,133,133,132.28,126,1.4288456879593403,133.0,0.0,0.0,0.0,0.0,0.0,0.23422990000017307,27,1
30,133,133,132.6,129,0.8944271909999159,133.0,0.0,0.0,0.0,0.0,0.0,0.4034884000002421,28,1
31,133,133,132.72,129,0.7756287771866126,133.0,0.0,0.0,0.0,0.0,0.0,0.34893320000082895,29,1
32,133,133,132.56,129,0.92,133.0,0.0,0.0,0.0,0.0,0.0,0.23549089999960415,30,1
33,133,133,132.38,129,1.1115754585272204,133.0,0.0,0.0,0.0,0.0,0.0,0.2627800999998726,31,1
34,133,133,132.8,129,0.7211102550927979,133.0,0.0,0.0,0.0,0.0,0.0,0.19573549999950046,32,1
35,133,133,132.56,129,1.061319932913728,133.0,0.0,0.0,0.0,0.0,0.0,0.22913059999973484,33,1
36,133,133,132.72,131,0.6939740629158989,133.0,0.0,0.0,0.0,0.0,0.0,0.38000319999991916,34,1
37,133,133,132.78,129,0.7291090453423275,133.0,0.0,0.0,0.0,0.0,0.0,0.25843710000026476,35,1
38,133,133,132.68,129,0.835224520712844,133.0,0.0,0.0,0.0,0.0,0.0,0.1998342999995657,36,1
39,133,133,132.78,130,0.6415605972938176,133.0,0.0,0.0,0.0,0.0,0.0,0.19962829999985843,37,1
40,133,133,132.86,130,0.5660388679233963,133.0,0.0,0.0,0.0,0.0,0.0,0.2900677999996333,38,1
41,133,133,132.96,131,0.27999999999999997,133.0,0.0,0.0,0.0,0.0,0.0,0.6479254999994737,39,1
42,133,133,132.86,131,0.4903060268852505,133.0,0.0,0.0,0.0,0.0,0.0,0.32137800000054995,40,1
43,133,133,132.88,131,0.4749736834815167,133.0,0.0,0.0,0.0,0.0,0.0,0.4569288000002416,41,1
44,133,133,132.98,132,0.13999999999999999,133.0,0.0,0.0,0.0,0.0,0.0,0.599000100000012,42,1
45,133,133,132.88,129,0.620966987850401,133.0,0.0,0.0,0.0,0.0,0.0,0.43504420000044774,43,1
46,133,133,132.9,128,0.7,133.0,0.0,0.0,0.0,0.0,0.0,0.3834720999993806,44,1
47,133,133,132.86,126,0.98,133.0,0.0,0.0,0.0,0.0,0.0,0.3803360000001703,45,1
48,133,133,132.96,131,0.28,133.0,0.0,0.0,0.0,0.0,0.0,0.40963580000061484,46,1
49,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.365761900000507,47,1
50,133,133,132.98,132,0.13999999999999999,133.0,0.0,0.0,0.0,0.0,0.0,0.3949310999996669,48,1
51,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.40329339999971126,49,1
52,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3850542999998652,50,1
53,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3787264000002324,51,1
54,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3717946999995547,52,1
55,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.5070772999997644,53,1
56,133,133,132.9,128,0.7,133.0,0.0,0.0,0.0,0.0,0.0,0.6808823999999731,54,1
57,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.7389024000003701,55,1
58,133,133,132.9,130,0.4999999999999999,133.0,0.0,0.0,0.0,0.0,0.0,0.6941194000000905,56,1
59,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.5294768000003387,57,1
60,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.416605399999753,58,1
61,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.41064579999965645,59,1
62,133,133,132.96,131,0.28,133.0,0.0,0.0,0.0,0.0,0.0,0.39722509999955946,60,1
63,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.4001760999999533,61,1
64,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.3899831999997332,62,1
65,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.5622434999995676,63,1
