geracao,melhor_geracao,melhor_global,media_geracao,pior_geracao,std_geracao,soma_preferencias_melhor,penalidade_carga_melhor,penalidade_conflito_melhor,penalidade_carga_total,penalidade_conflito_total,melhoria_relativa,tempo_geracao_seg,stagnation_count,execucao
1,126,126,122.36363636363636,118,3.1986567428653054,126.0,0.0,0.0,0.0,0.0,0.0,0.051234000000476954,0,1
2,132,132,125.0,121,3.1908961408698624,132.0,0.0,0.0,0.0,0.0,0.0,0.04811590000099386,0,1
3,132,132,129.0,126,1.7056057308448835,132.0,0.0,0.0,0.0,0.0,0.0,0.04721079999944777,1,1
4,133,133,131.54545454545453,130,1.0756508696544755,133.0,0.0,0.0,0.0,0.0,0.0,0.0415422000005492,0,1
5,133,133,132.54545454545453,131,0.6555547773570889,133.0,0.0,0.0,0.0,0.0,0.0,0.03909810000004654,1,1
6,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04099029999997583,2,1
7,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03854429999955755,3,1
8,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03753529999994498,4,1
9,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04299739999987651,5,1
10,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03571190000002389,6,1
11,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03783039999871107,7,1
12,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.037050400000225636,8,1
13,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03666990000056103,9,1
14,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.046823100001347484,10,1
15,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.047858500000074855,11,1
16,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.05393070000172884,12,1
17,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04382380000060948,13,1
18,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04119840000021213,14,1
19,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04394089999914286,15,1
20,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.048124900000402704,16,1
21,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04016890000093554,17,1
22,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03973000000041793,18,1
23,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.039768000000549364,19,1
24,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04154780000135361,20,1
25,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.041737000001376146,21,1
26,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04751810000016121,22,1
27,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.05024799999955576,23,1
28,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.050297699999646284,24,1
29,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.05510809999941557,25,1
30,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.05127419999917038,26,1
31,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0493469000011828,27,1
32,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04088140000021667,28,1
33,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04606710000007297,29,1
34,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04131280000001425,30,1
35,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03761520000080054,31,1
36,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.040418300000965246,32,1
37,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03940080000029411,33,1
38,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.044115699998656055,34,1
39,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04002279999986058,35,1
40,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03773209999963001,36,1
41,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.037529400000494206,37,1
42,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04038089999994554,38,1
43,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.039521100001365994,39,1
44,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.037933899999188725,40,1
45,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03722099999868078,41,1
46,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03661189999911585,42,1
47,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0380514000007679,43,1
48,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03670059999967634,44,1
49,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04049309999936668,45,1
50,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.037529999999605934,46,1
51,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03821609999977227,47,1
52,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04031510000095295,48,1
53,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03928719999930763,49,1
54,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03916410000056203,50,1
55,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.038749200000893325,51,1
56,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03635050000048068,52,1
57,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03693530000055034,53,1
58,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04210370000146213,54,1
59,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03807529999903636,55,1
60,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03847700000005716,56,1
61,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04239579999921261,57,1
62,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03768350000063947,58,1
63,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04191469999932451,59,1
64,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03747690000091097,60,1
65,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.038357099998393096,61,1
66,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03805099999954109,62,1
67,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.042922799999359995,63,1
68,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.03623179999885906,64,1
69,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04918810000162921,65,1
70,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04211649999888323,66,1
71,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.055867200000648154,67,1
72,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.05576100000143924,68,1
73,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.06199940000078641,69,1
74,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.04939879999983532,70,1
75,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.06267449999904784,71,1
76,133,133,133.0,133,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.06340090000048804,72,1
