execucao,melhor_fitness_final,geracao_melhor_global,tempo_total_execucao,n_formigas,n_geracoes,alfa,beta,taxa_evaporacao,tempo_total_seg
1,133,4,4.360823631286621,11,100,2.1728523394782377,3.879932097070802,0.4889078959128219,4.315808000008469
2,133,1,31.810277700424194,81,100,6.767804290256951,5.9844801472404505,0.2036418070841691,31.768351500006244
3,131,2,32.98901605606079,92,100,5.158981989564873,2.409362758869146,0.3622197050334542,32.95520829998895
4,131,3,27.870965719223022,82,100,4.674937791380695,1.9393073373880576,0.1123182838346456,27.832509800005933
5,131,3,9.79819941520691,28,100,3.1703551947151385,3.3680438786403464,0.4561050068026338,9.758983799987615
6,133,2,43.1140615940094,94,100,3.7634554548206074,4.294700758861571,0.3893206366360334,43.07141600001523
7,118,3,93.88994979858398,98,100,6.477583526966908,1.0982196864927385,0.4488685887026383,93.82571189998635
8,94,2,31.13550591468811,35,100,5.9881243821820185,0.5252444327243019,0.3350974708026973,31.08881579999797
9,133,2,41.82252216339111,50,100,0.9627118803850396,3.711420728807129,0.2864315859227472,41.75740349999978
10,113,14,43.725191831588745,51,100,2.497800436776123,0.2227442303776254,0.2129905580159524,43.677358800005095
11,133,5,69.44756770133972,82,100,1.0811416841839676,3.653987628573229,0.2710629000758539,69.3981361999995
12,112,13,53.49381470680237,64,100,1.455777663316816,0.0752510089785918,0.3611350156882092,53.44063160000405
13,115,4,22.027374982833862,25,100,4.0068115507648985,0.6906709505511617,0.1249779131907469,21.97621549999712
14,133,2,48.98211741447449,58,100,1.7889736266923717,4.213758948997438,0.1046578129069341,48.93038089999391
15,133,2,48.84101223945618,57,100,5.013458744188865,4.473476140087376,0.4726564097793921,48.795658100016226
16,133,3,11.555864572525024,13,100,0.7713488437133204,3.520288981697544,0.4977050034277518,11.491107399997414
17,129,2,31.913604736328125,37,100,5.340832961302627,2.073903665831881,0.1630881497058121,31.8668263999898
18,133,2,58.95497417449951,71,100,5.066286521835823,3.8166527152684218,0.1447744140688261,58.88080539999282
19,133,8,61.759382247924805,84,100,1.5290828239929506,1.8172792053878437,0.190155848323934,61.71568670000488
20,73,3,37.26981687545776,45,100,5.802443895979412,0.0206718328907403,0.4646483053726807,37.22723560000304
