execucao,melhor_fitness_final,geracao_melhor_global,tempo_total_execucao,n_populacao,taxa_crossover,taxa_mutacao,tamanho_torneio,tamanho_elite
1,136,106,24.771159172058105,100,0.9187884027952229,0.16249941825536898,2,3
2,136,44,8.317876815795898,200,0.8390075644155588,0.018119797144462012,2,3
3,136,97,74.36316633224487,200,0.9407989194525556,0.12423514129696307,2,2
4,136,65,20.38414454460144,80,0.7701287405055508,0.06326651377654267,2,1
5,136,21,19.86931562423706,150,0.6880266472553977,0.028596137627224336,4,4
6,136,55,3.5382440090179443,50,0.6865146473022257,0.010933219688637764,4,1
7,136,23,16.96147394180298,180,0.8903762770267141,0.017065113459860677,3,1
8,136,34,37.028544187545776,100,0.9433137067633317,0.09835408134190764,5,4
9,136,19,77.39888215065002,150,0.835919626138842,0.17529704951402564,5,3
10,136,34,13.376374006271362,50,0.7136834744254877,0.06576881252018373,5,1
