geracao,melhor_geracao,melhor_global,media_geracao,pior_geracao,std_geracao,soma_preferencias_melhor,penalidade_carga_melhor,penalidade_conflito_melhor,penalidade_carga_total,penalidade_conflito_total,melhoria_relativa,tempo_geracao_seg,stagnation_count,execucao
1,126.0,126.0,111.30364372469636,94.0,5.195461551331845,126.0,0.0,0.0,0.0,0.0,0.0,0.4155101000005743,0,1
2,127.0,127.0,-27938.864372469634,-1119884.0,140689.18503418384,127.0,0.0,0.0,13600000.0,260000.0,0.0,0.4075420999997732,0,1
3,130.0,130.0,-27692.56882591093,-1509876.0,136236.64163790748,130.0,0.0,0.0,13400000.0,340000.0,0.0,0.40608739999970567,0,1
4,130.0,130.0,-21779.676113360325,-1509874.0,131800.04237429803,130.0,0.0,0.0,10600000.0,220000.0,0.0,0.41195710000010877,1,1
5,131.0,131.0,-21312.44939271255,-1019878.0,112227.23272369451,131.0,0.0,0.0,10400000.0,190000.0,0.0,0.3980829000001904,0,1
6,133.0,133.0,-21655.38259109312,-1299882.0,126390.55035409535,133.0,0.0,0.0,10600000.0,160000.0,0.0,0.41439290000016626,0,1
7,133.0,133.0,-23577.68218623482,-1109872.0,120033.18938099533,133.0,0.0,0.0,11500000.0,210000.0,0.0,0.48329329999978654,1,1
8,134.0,134.0,-10479.785425101214,-909878.0,71824.96717139926,134.0,0.0,0.0,5100000.0,140000.0,0.0,0.4615177000005133,0,1
9,134.0,134.0,-12867.688259109313,-809869.0,78267.82570186263,134.0,0.0,0.0,6300000.0,120000.0,0.0,0.4303466000001208,1,1
10,134.0,134.0,-21430.19028340081,-1399870.0,114749.64540518465,134.0,0.0,0.0,10500000.0,150000.0,0.0,0.5089404999998806,2,1
11,134.0,134.0,-14061.267206477733,-1509874.0,105552.86436387447,134.0,0.0,0.0,6900000.0,110000.0,0.0,0.44075900000007096,3,1
12,134.0,134.0,-14202.811740890687,-1309866.0,97429.88879815907,134.0,0.0,0.0,7000000.0,80000.0,0.0,0.4870753999994122,4,1
13,135.0,135.0,-11935.263157894737,-509872.0,67905.38578718522,135.0,0.0,0.0,5800000.0,160000.0,0.0,0.4992420000007769,0,1
14,135.0,135.0,-13777.17004048583,-1309870.0,93201.90255357834,135.0,0.0,0.0,6800000.0,70000.0,0.0,0.44491049999942334,1,1
15,135.0,135.0,-17866.026315789473,-1509872.0,119302.41661016602,135.0,0.0,0.0,8700000.0,190000.0,0.0,0.4001754000000801,2,1
16,136.0,136.0,-11833.376518218623,-1209870.0,99864.57966682843,136.0,0.0,0.0,5800000.0,110000.0,0.0,0.49463269999978365,0,1
17,136.0,136.0,-15699.633603238866,-1019868.0,100402.16760925538,136.0,0.0,0.0,7700000.0,120000.0,0.0,0.47630169999956706,1,1
18,136.0,136.0,-6894.030364372469,-809868.0,54885.70025604342,136.0,0.0,0.0,3300000.0,170000.0,0.0,0.4439879999999903,2,1
19,136.0,136.0,-14160.963562753037,-709873.0,89595.58277145457,136.0,0.0,0.0,6900000.0,160000.0,0.0,0.4298934999997073,3,1
20,136.0,136.0,-20213.566801619432,-999869.0,105220.51603043545,136.0,0.0,0.0,9800000.0,250000.0,0.0,0.4150274999992689,4,1
21,136.0,136.0,-20294.08704453441,-1009866.0,109716.4813216767,136.0,0.0,0.0,9900000.0,190000.0,0.0,0.40714090000074066,5,1
22,136.0,136.0,-14403.481781376518,-799877.0,92057.99848130129,136.0,0.0,0.0,7100000.0,80000.0,0.0,0.4081139999998413,6,1
23,136.0,136.0,-7439.585020242915,-709869.0,58321.430780245064,136.0,0.0,0.0,3700000.0,40000.0,0.0,0.4052806999998211,7,1
24,136.0,136.0,-15051.251012145749,-999868.0,98422.10052722941,136.0,0.0,0.0,7400000.0,100000.0,0.0,0.5922280999993745,8,1
25,136.0,136.0,-8654.137651821862,-799869.0,64048.42669245375,136.0,0.0,0.0,4200000.0,140000.0,0.0,0.42837580000013986,9,1
