execucao,n_populacao,geracao_melhor_global,taxa_crossover,taxa_mutacao,tamanho_torneio,n_elitismo,melhor_fitness_final,tempo_total_seg
1,494,16,0.14374081040165299,0.27380467360029537,9,123,136,50.09816122055054
2,264,14,0.541592401986731,0.06737978564907682,7,86,136,7.682043075561523
3,162,16,0.680488233407676,0.15785378293306446,8,55,136,11.134162902832031
4,427,64,0.48296943475322773,0.30312060914631944,5,1,135,58.35060739517212
5,262,13,0.6509698268791343,0.08009767325201698,9,60,136,8.59486174583435
6,257,16,0.1502218599751531,0.10652065411404257,4,61,136,10.9603910446167
7,409,39,0.040216601783771934,0.005580582139539493,5,156,136,3.0467119216918945
8,77,14,0.3924671899644302,0.13174765024591353,6,3,136,4.505471229553223
9,64,51,0.9477821453596145,0.3343324496599925,5,18,135,9.762145757675171
10,85,70,0.9840834774731322,0.34903890632023254,2,37,135,7.330320358276367
11,492,40,0.06661758486832663,0.3773769187416596,5,126,136,61.68079233169556
12,288,23,0.4502738948297444,0.23810419601349034,5,141,136,17.283989429473877
13,282,56,0.7835260252923791,0.28478254631172933,6,4,136,38.85314202308655
14,34,26,0.7896052855950305,0.062320166339791296,5,13,136,1.645202875137329
15,156,15,0.27727647570850245,0.18048865642243944,9,73,136,8.21089220046997
16,227,52,0.7980427082815554,0.467793611617577,7,69,136,36.69845223426819
17,102,32,0.8506240875903995,0.3106199320511132,3,39,136,10.411051273345947
18,418,20,0.34185093766269037,0.2517937425658287,6,146,136,39.132718563079834
19,447,18,0.1553578641661484,0.04851281241475323,4,93,136,12.413750410079956
20,435,39,0.6109212492629774,0.12637450026894634,2,198,136,18.062318325042725
21,392,12,0.235335285774595,0.2557804334618016,8,22,136,56.32288360595703
22,268,17,0.5570042566523747,0.10909252812718281,5,114,136,18.627359867095947
23,139,16,0.6453175775680318,0.2689801445861645,8,41,136,37.277058124542236
24,497,36,0.028276536467765265,0.47426845681349683,3,133,136,161.1233549118042
25,351,16,0.9156676893229678,0.28305185226286705,7,116,136,33.005059242248535
