n_formigas,alfa,beta,taxa_evaporacao,simulacao,n_populacao,taxa_crossover,taxa_mutacao,tamanho_torneio,elit_pct
40,1.3623252868384443,1.945748089059172,0.40170326851855986,1,195,0.3356943184958222,0.27118560508909556,11,0.34120470494574845
71,2.9315338453409585,2.85365850138106,0.4875541520991302,2,125,0.6661324001578355,0.06893702408811575,13,0.3555053653444407
48,6.37707511482217,5.240920681339328,0.17397659295190418,3,168,0.16040283191449628,0.16703033615610355,6,0.2629266473882645
12,6.150365925637433,3.6809730634357027,0.20165269079346437,4,65,0.5058074193179867,0.11072367245574327,8,0.22409174815736427
29,0.5376642679755068,2.240612409965942,0.29668257334162784,5,243,0.48672768054074045,0.22008844126008828,12,0.14078310062857602
62,4.083867204731479,1.0515477220515443,0.3387773911723106,6,350,0.3823093416887632,0.13087026687266953,9,0.4687232997132268
80,2.7895735582678376,6.6702067397766776,0.06222905023175323,7,89,0.19082477991249802,0.3112742850700005,4,0.06346240318143731
20,5.162126195985175,0.05801419921667838,0.4160889387007801,8,308,0.5962365157453229,0.32539113148625054,7,0.42364789579848516
89,4.29371079848323,5.788473644540122,0.12749606193654825,9,282,0.8533409271879154,0.030483744014815295,3,0.19131841819122988
93,1.4943448010093845,4.69039347305378,0.25128310621863664,10,43,0.8188420418567947,0.39869792313573643,14,0.02658437327867119
