simulacao,n_mudancas_pref,n_mudancas_hor,folga_ganha,tempo_total,aco_n_formigas,aco_alfa,aco_beta,aco_taxa_evaporacao,ag_n_populacao,ag_taxa_crossover,ag_taxa_mutacao,ag_tamanho_torneio,ag_elit_pct,resultado_pli,resultado_aco,resultado_ag,tempo_pli,tempo_aco,tempo_ag,erro,arquivo_origem
1,263,9,4,0.0405993461608886,,,,,,,,,,,,,,,,"""None of [Index(['EST0001_01', 'EST0001_02', 'EST0004_01', 'EST0005_01', 'EST0011_01',\n       'EST0017_01', 'EST0019_01', 'EST0019_02', 'EST0019_03', 'EST0019_04',\n       'EST0019_05', 'EST0019_06', 'EST0019_07', 'EST0019_08', 'EST0019_09',\n       'EST0019_10', 'EST0023_01', 'EST0023_02', 'EST0023_03', 'EST0023_04',\n       'EST0023_05', 'EST0023_06', 'EST0023_07', 'EST0023_08', 'EST0023_09',\n       'EST0023_10', 'EST0023_11', 'EST0027_01', 'EST0027_02', 'EST0033_01',\n       'EST0035_01', 'EST0036_01', 'EST0038_01', 'EST0042_01', 'EST0046_01',\n       'EST0048_01', 'EST0051_01', 'EST0064_01', 'EST0069_01', 'EST0069_03',\n       'EST0070_01', 'EST0081_01', 'EST0086_01', 'EST0088_01', 'EST0091_01',\n       'EST0092_01', 'EST0124_01'],\n      dtype='object', name='EST0001_01')] are in the [index]""",lhs_batch_01_resultados.csv
2,263,9,4,0.0359354019165039,,,,,,,,,,,,,,,,"""None of [Index(['EST0001_01', 'EST0001_02', 'EST0004_01', 'EST0005_01', 'EST0011_01',\n       'EST0017_01', 'EST0019_01', 'EST0019_02', 'EST0019_03', 'EST0019_04',\n       'EST0019_05', 'EST0019_06', 'EST0019_07', 'EST0019_08', 'EST0019_09',\n       'EST0019_10', 'EST0023_01', 'EST0023_02', 'EST0023_03', 'EST0023_04',\n       'EST0023_05', 'EST0023_06', 'EST0023_07', 'EST0023_08', 'EST0023_09',\n       'EST0023_10', 'EST0023_11', 'EST0027_01', 'EST0027_02', 'EST0033_01',\n       'EST0035_01', 'EST0036_01', 'EST0038_01', 'EST0042_01', 'EST0046_01',\n       'EST0048_01', 'EST0051_01', 'EST0064_01', 'EST0069_01', 'EST0069_03',\n       'EST0070_01', 'EST0081_01', 'EST0086_01', 'EST0088_01', 'EST0091_01',\n       'EST0092_01', 'EST0124_01'],\n      dtype='object', name='EST0001_01')] are in the [index]""",lhs_batch_01_resultados.csv
3,263,9,3,0.0466725826263427,,,,,,,,,,,,,,,,"""None of [Index(['EST0001_01', 'EST0001_02', 'EST0004_01', 'EST0005_01', 'EST0011_01',\n       'EST0017_01', 'EST0019_01', 'EST0019_02', 'EST0019_03', 'EST0019_04',\n       'EST0019_05', 'EST0019_06', 'EST0019_07', 'EST0019_08', 'EST0019_09',\n       'EST0019_10', 'EST0023_01', 'EST0023_02', 'EST0023_03', 'EST0023_04',\n       'EST0023_05', 'EST0023_06', 'EST0023_07', 'EST0023_08', 'EST0023_09',\n       'EST0023_10', 'EST0023_11', 'EST0027_01', 'EST0027_02', 'EST0033_01',\n       'EST0035_01', 'EST0036_01', 'EST0038_01', 'EST0042_01', 'EST0046_01',\n       'EST0048_01', 'EST0051_01', 'EST0064_01', 'EST0069_01', 'EST0069_03',\n       'EST0070_01', 'EST0081_01', 'EST0086_01', 'EST0088_01', 'EST0091_01',\n       'EST0092_01', 'EST0124_01'],\n      dtype='object', name='EST0001_01')] are in the [index]""",lhs_batch_01_resultados.csv
4,263,9,5,0.0520987510681152,,,,,,,,,,,,,,,,"""None of [Index(['EST0001_01', 'EST0001_02', 'EST0004_01', 'EST0005_01', 'EST0011_01',\n       'EST0017_01', 'EST0019_01', 'EST0019_02', 'EST0019_03', 'EST0019_04',\n       'EST0019_05', 'EST0019_06', 'EST0019_07', 'EST0019_08', 'EST0019_09',\n       'EST0019_10', 'EST0023_01', 'EST0023_02', 'EST0023_03', 'EST0023_04',\n       'EST0023_05', 'EST0023_06', 'EST0023_07', 'EST0023_08', 'EST0023_09',\n       'EST0023_10', 'EST0023_11', 'EST0027_01', 'EST0027_02', 'EST0033_01',\n       'EST0035_01', 'EST0036_01', 'EST0038_01', 'EST0042_01', 'EST0046_01',\n       'EST0048_01', 'EST0051_01', 'EST0064_01', 'EST0069_01', 'EST0069_03',\n       'EST0070_01', 'EST0081_01', 'EST0086_01', 'EST0088_01', 'EST0091_01',\n       'EST0092_01', 'EST0124_01'],\n      dtype='object', name='EST0001_01')] are in the [index]""",lhs_batch_01_resultados.csv
5,263,9,0,0.0395076274871826,,,,,,,,,,,,,,,,"""None of [Index(['EST0001_01', 'EST0001_02', 'EST0004_01', 'EST0005_01', 'EST0011_01',\n       'EST0017_01', 'EST0019_01', 'EST0019_02', 'EST0019_03', 'EST0019_04',\n       'EST0019_05', 'EST0019_06', 'EST0019_07', 'EST0019_08', 'EST0019_09',\n       'EST0019_10', 'EST0023_01', 'EST0023_02', 'EST0023_03', 'EST0023_04',\n       'EST0023_05', 'EST0023_06', 'EST0023_07', 'EST0023_08', 'EST0023_09',\n       'EST0023_10', 'EST0023_11', 'EST0027_01', 'EST0027_02', 'EST0033_01',\n       'EST0035_01', 'EST0036_01', 'EST0038_01', 'EST0042_01', 'EST0046_01',\n       'EST0048_01', 'EST0051_01', 'EST0064_01', 'EST0069_01', 'EST0069_03',\n       'EST0070_01', 'EST0081_01', 'EST0086_01', 'EST0088_01', 'EST0091_01',\n       'EST0092_01', 'EST0124_01'],\n      dtype='object', name='EST0001_01')] are in the [index]""",lhs_batch_01_resultados.csv
6,263,9,0,0.0396945476531982,,,,,,,,,,,,,,,,"""None of [Index(['EST0001_01', 'EST0001_02', 'EST0004_01', 'EST0005_01', 'EST0011_01',\n       'EST0017_01', 'EST0019_01', 'EST0019_02', 'EST0019_03', 'EST0019_04',\n       'EST0019_05', 'EST0019_06', 'EST0019_07', 'EST0019_08', 'EST0019_09',\n       'EST0019_10', 'EST0023_01', 'EST0023_02', 'EST0023_03', 'EST0023_04',\n       'EST0023_05', 'EST0023_06', 'EST0023_07', 'EST0023_08', 'EST0023_09',\n       'EST0023_10', 'EST0023_11', 'EST0027_01', 'EST0027_02', 'EST0033_01',\n       'EST0035_01', 'EST0036_01', 'EST0038_01', 'EST0042_01', 'EST0046_01',\n       'EST0048_01', 'EST0051_01', 'EST0064_01', 'EST0069_01', 'EST0069_03',\n       'EST0070_01', 'EST0081_01', 'EST0086_01', 'EST0088_01', 'EST0091_01',\n       'EST0092_01', 'EST0124_01'],\n      dtype='object', name='EST0001_01')] are in the [index]""",lhs_batch_01_resultados.csv
7,263,9,2,0.0362131595611572,,,,,,,,,,,,,,,,"""None of [Index(['EST0001_01', 'EST0001_02', 'EST0004_01', 'EST0005_01', 'EST0011_01',\n       'EST0017_01', 'EST0019_01', 'EST0019_02', 'EST0019_03', 'EST0019_04',\n       'EST0019_05', 'EST0019_06', 'EST0019_07', 'EST0019_08', 'EST0019_09',\n       'EST0019_10', 'EST0023_01', 'EST0023_02', 'EST0023_03', 'EST0023_04',\n       'EST0023_05', 'EST0023_06', 'EST0023_07', 'EST0023_08', 'EST0023_09',\n       'EST0023_10', 'EST0023_11', 'EST0027_01', 'EST0027_02', 'EST0033_01',\n       'EST0035_01', 'EST0036_01', 'EST0038_01', 'EST0042_01', 'EST0046_01',\n       'EST0048_01', 'EST0051_01', 'EST0064_01', 'EST0069_01', 'EST0069_03',\n       'EST0070_01', 'EST0081_01', 'EST0086_01', 'EST0088_01', 'EST0091_01',\n       'EST0092_01', 'EST0124_01'],\n      dtype='object', name='EST0001_01')] are in the [index]""",lhs_batch_01_resultados.csv
8,263,9,0,0.0373778343200683,,,,,,,,,,,,,,,,"""None of [Index(['EST0001_01', 'EST0001_02', 'EST0004_01', 'EST0005_01', 'EST0011_01',\n       'EST0017_01', 'EST0019_01', 'EST0019_02', 'EST0019_03', 'EST0019_04',\n       'EST0019_05', 'EST0019_06', 'EST0019_07', 'EST0019_08', 'EST0019_09',\n       'EST0019_10', 'EST0023_01', 'EST0023_02', 'EST0023_03', 'EST0023_04',\n       'EST0023_05', 'EST0023_06', 'EST0023_07', 'EST0023_08', 'EST0023_09',\n       'EST0023_10', 'EST0023_11', 'EST0027_01', 'EST0027_02', 'EST0033_01',\n       'EST0035_01', 'EST0036_01', 'EST0038_01', 'EST0042_01', 'EST0046_01',\n       'EST0048_01', 'EST0051_01', 'EST0064_01', 'EST0069_01', 'EST0069_03',\n       'EST0070_01', 'EST0081_01', 'EST0086_01', 'EST0088_01', 'EST0091_01',\n       'EST0092_01', 'EST0124_01'],\n      dtype='object', name='EST0001_01')] are in the [index]""",lhs_batch_01_resultados.csv
9,263,9,1,0.0382323265075683,,,,,,,,,,,,,,,,"""None of [Index(['EST0001_01', 'EST0001_02', 'EST0004_01', 'EST0005_01', 'EST0011_01',\n       'EST0017_01', 'EST0019_01', 'EST0019_02', 'EST0019_03', 'EST0019_04',\n       'EST0019_05', 'EST0019_06', 'EST0019_07', 'EST0019_08', 'EST0019_09',\n       'EST0019_10', 'EST0023_01', 'EST0023_02', 'EST0023_03', 'EST0023_04',\n       'EST0023_05', 'EST0023_06', 'EST0023_07', 'EST0023_08', 'EST0023_09',\n       'EST0023_10', 'EST0023_11', 'EST0027_01', 'EST0027_02', 'EST0033_01',\n       'EST0035_01', 'EST0036_01', 'EST0038_01', 'EST0042_01', 'EST0046_01',\n       'EST0048_01', 'EST0051_01', 'EST0064_01', 'EST0069_01', 'EST0069_03',\n       'EST0070_01', 'EST0081_01', 'EST0086_01', 'EST0088_01', 'EST0091_01',\n       'EST0092_01', 'EST0124_01'],\n      dtype='object', name='EST0001_01')] are in the [index]""",lhs_batch_01_resultados.csv
10,263,9,5,0.0377986431121826,,,,,,,,,,,,,,,,"""None of [Index(['EST0001_01', 'EST0001_02', 'EST0004_01', 'EST0005_01', 'EST0011_01',\n       'EST0017_01', 'EST0019_01', 'EST0019_02', 'EST0019_03', 'EST0019_04',\n       'EST0019_05', 'EST0019_06', 'EST0019_07', 'EST0019_08', 'EST0019_09',\n       'EST0019_10', 'EST0023_01', 'EST0023_02', 'EST0023_03', 'EST0023_04',\n       'EST0023_05', 'EST0023_06', 'EST0023_07', 'EST0023_08', 'EST0023_09',\n       'EST0023_10', 'EST0023_11', 'EST0027_01', 'EST0027_02', 'EST0033_01',\n       'EST0035_01', 'EST0036_01', 'EST0038_01', 'EST0042_01', 'EST0046_01',\n       'EST0048_01', 'EST0051_01', 'EST0064_01', 'EST0069_01', 'EST0069_03',\n       'EST0070_01', 'EST0081_01', 'EST0086_01', 'EST0088_01', 'EST0091_01',\n       'EST0092_01', 'EST0124_01'],\n      dtype='object', name='EST0001_01')] are in the [index]""",lhs_batch_01_resultados.csv
