id_disciplina,disciplina,carga_horaria,tipo_disciplina,codigo_turma,horario,horario_extenso
EST0001_01,COMPUTACAO EM ESTATISTICA 1,30,REGULAR,1,6M34,Sexta-feira 10:00 às 11:50
EST0001_02,COMPUTACAO EM ESTATISTICA 1,30,REGULAR,2,3T45,Terça-feira 16:00 às 17:50
EST0004_01,ESTATISTICA COMPUTACIONAL,60,REGULAR,1,3T2345,Terça-feira 14:00 às 17:50
EST0005_01,INFERENCIA BAYESIANA,60,REGULAR,1,35M34,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50
EST0011_01,MODELOS LINEARES GENERALIZADOS,60,REGULAR,1,24M34,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50
EST0017_01,METODOS ESTATISTICOS 2,60,REGULAR,1,24T23,Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50
EST0019_01,ESTATISTICA APLICADA,90,SERVICO,1,246M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50
EST0019_02,ESTATISTICA APLICADA,90,SERVICO,2,246M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50
EST0019_03,ESTATISTICA APLICADA,90,SERVICO,3,246M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50
EST0019_04,ESTATISTICA APLICADA,90,SERVICO,4,246M34,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50
EST0019_05,ESTATISTICA APLICADA,90,SERVICO,5,246M34,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50
EST0019_06,ESTATISTICA APLICADA,90,SERVICO,6,246T45,Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50Sexta-feira 16:00 às 17:50
EST0019_07,ESTATISTICA APLICADA,90,SERVICO,7,246N12,Segunda-feira 19:00 às 20:40Quarta-feira 19:00 às 20:40Sexta-feira 19:00 às 20:40
EST0019_08,ESTATISTICA APLICADA,90,SERVICO,8,246N34,Segunda-feira 20:50 às 22:30Quarta-feira 20:50 às 22:30Sexta-feira 20:50 às 22:30
EST0019_09,ESTATISTICA APLICADA,90,SERVICO,9,246T23,Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50
EST0019_10,ESTATISTICA APLICADA,90,SERVICO,10,246T45,Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50Sexta-feira 16:00 às 17:50
EST0023_01,PROBABILIDADE E ESTATISTICA,60,SERVICO,1,24M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50
EST0023_02,PROBABILIDADE E ESTATISTICA,60,SERVICO,2,24M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50
EST0023_03,PROBABILIDADE E ESTATISTICA,60,SERVICO,3,46M12,Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50
EST0023_04,PROBABILIDADE E ESTATISTICA,60,SERVICO,4,24M34,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50
EST0023_05,PROBABILIDADE E ESTATISTICA,30,SERVICO,5,46M34,Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50
EST0023_06,PROBABILIDADE E ESTATISTICA,60,SERVICO,6,24T23,Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50
EST0023_07,PROBABILIDADE E ESTATISTICA,60,SERVICO,7,24T23,Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50
EST0023_08,PROBABILIDADE E ESTATISTICA,60,SERVICO,8,46T23,Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50
