codigo_disciplina,disciplina,codigo_turma,ano_periodo,docente,carga_horaria,horario,horario_extenso,vagas_ofertadas,vagas_ocupadas,local
EST0001,COMPUTAÇÃO EM ESTATÍSTICA 1,01,2025.1,JAMES MATOS SAMPAIO,30,6M34,Sexta-feira 10:00 às 11:50,,38,37
EST0001,COMPUTAÇÃO EM ESTATÍSTICA 1,02,2025.1,JAMES MATOS SAMPAIO,30,3T45,Terça-feira 16:00 às 17:50,,35,31
EST0004,ESTATÍSTICA COMPUTACIONAL,01,2025.1,HELTON SAULO BEZERRA DOS SANTOS,60,3T2345,Terça-feira 14:00 às 17:50,,40,23
EST0005,INFERÊNCIA BAYESIANA,01,2025.1,GUSTAVO LEONEL GILARDONI AVALLE,60,35M34,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50,,50,14
EST0011,MODELOS LINEARES GENERALIZADOS,01,2025.1,TEREZINHA KESSIA DE ASSIS RIBEIRO,60,24M34,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50,,50,15
EST0017,MÉTODOS ESTATÍSTICOS 2,01,2025.1,LUIS GUSTAVO DO AMARAL VINHA,60,24T23,Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50,,50,42
EST0019,ESTATÍSTICA APLICADA,01,2025.1,DEMERSON ANDRE POLLI,90,246M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50,,60,57
EST0019,ESTATÍSTICA APLICADA,02,2025.1,JOSE ANGELO BELLONI,90,246M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50,,50,45
EST0019,ESTATÍSTICA APLICADA,03,2025.1,ANA MARIA NOGALES VASCONCELOS,90,246M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50,,50,40
EST0019,ESTATÍSTICA APLICADA,04,2025.1,JOSE ANGELO BELLONI,90,246M34,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50,,77,58
EST0019,ESTATÍSTICA APLICADA,05,2025.1,MARIA TERESA LEAO COSTA,90,246M34,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50,,70,55
EST0019,ESTATÍSTICA APLICADA,06,2025.1,DEMERSON ANDRE POLLI,90,246T45,Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50Sexta-feira 16:00 às 17:50,,65,65
EST0019,ESTATÍSTICA APLICADA,07,2025.1,NICOLLAS STEFAN SOARES DA COSTA,90,246N12,Segunda-feira 19:00 às 20:40Quarta-feira 19:00 às 20:40Sexta-feira 19:00 às 20:40,,70,60
EST0019,ESTATÍSTICA APLICADA,08,2025.1,NICOLLAS STEFAN SOARES DA COSTA,90,246N34,Segunda-feira 20:50 às 22:30Quarta-feira 20:50 às 22:30Sexta-feira 20:50 às 22:30,,80,58
EST0019,ESTATÍSTICA APLICADA,09,2025.1,ERITON BARROS DOS SANTOS,90,246T23,Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50,,70,51
EST0019,ESTATÍSTICA APLICADA,10,2025.1,ERITON BARROS DOS SANTOS,90,246T45,Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50Sexta-feira 16:00 às 17:50,,20,18
EST0023,PROBABILIDADE E ESTATÍSTICA,01,2025.1,ROBERTO VILA GABRIEL,60,24M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50,,75,69
EST0023,PROBABILIDADE E ESTATÍSTICA,02,2025.1,JAMES MATOS SAMPAIO,60,24M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50,,75,56
EST0023,PROBABILIDADE E ESTATÍSTICA,03,2025.1,ANTONIO EDUARDO GOMES,60,46M12,Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50,,75,50
EST0023,PROBABILIDADE E ESTATÍSTICA,04,2025.1,ANTONIO EDUARDO GOMES,60,24M34,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50,,75,62
EST0023,PROBABILIDADE E ESTATÍSTICA,05,2025.1,ANDRE LUIZ FERNANDES CANCADO,30,46M34,Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50,,75,56
EST0023,PROBABILIDADE E ESTATÍSTICA,06,2025.1,LUCAS MOREIRA,60,24T23,Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50,,70,53
EST0023,PROBABILIDADE E ESTATÍSTICA,07,2025.1,GUSTAVO LEONEL GILARDONI AVALLE,60,24T23,Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50,,75,33
EST0023,PROBABILIDADE E ESTATÍSTICA,08,2025.1,FREDERICO MACHADO ALMEIDA,60,46T23,Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50,,75,17
EST0023,PROBABILIDADE E ESTATÍSTICA,09,2025.1,PETER ZORNIG,60,24T45,Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50,,75,26
EST0023,PROBABILIDADE E ESTATÍSTICA,10,2025.1,JOSE AUGUSTO FIORUCCI,60,24N12,Segunda-feira 19:00 às 20:40Quarta-feira 19:00 às 20:40,,75,69
EST0023,PROBABILIDADE E ESTATÍSTICA,11,2025.1,PETER ZORNIG,60,24N12,Segunda-feira 19:00 às 20:40Quarta-feira 19:00 às 20:40,,75,28
EST0027,BIOESTATÍSTICA,01,2025.1,LUIS GUSTAVO DO AMARAL VINHA,60,35M12,Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50,,85,72
EST0027,BIOESTATÍSTICA,02,2025.1,JOANLISE MARCO DE LEON ANDRADE,60,35M34,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50,,70,32
EST0033,ESTATÍSTICA EXPLORATÓRIA,01,2025.1,DONALD MATTHEW PIANTO,60,24M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50,,75,62
EST0035,INFERENCIA ESTATISTICA,01,2025.1,FREDERICO MACHADO ALMEIDA,90,356M34,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50,,50,26
EST0036,TECNICAS DE AMOSTRAGEM,01,2025.1,ALAN RICARDO DA SILVA,90,356M12,Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50,,50,20
