codigo_disciplina,disciplina,codigo_turma,ano_periodo,docente,carga_horaria,horario,horario_extenso,vagas_ofertadas,vagas_ocupadas,local
PPGEST0018,ESTÁGIO DE DOCÊNCIA NO ENSINO DE GRADUAÇÃO EM ESTATÍSTICA,01,2025.1,GLADSTON LUIZ DA SILVA,30,7M13 (24/03/2025 - 26/07/2025),Sábado 08:00 às 08:55Sábado 10:00 às 10:55,,1,1
PPGEST0018,ESTÁGIO DE DOCÊNCIA NO ENSINO DE GRADUAÇÃO EM ESTATÍSTICA,02,2025.1,PUSHPA NARAYAN RATHIE,30,7M12 (24/03/2025 - 26/07/2025),Sábado 08:00 às 09:50,,2,2
PPGEST0018,ESTÁGIO DE DOCÊNCIA NO ENSINO DE GRADUAÇÃO EM ESTATÍSTICA,03,2025.1,RAUL YUKIHIRO MATSUSHITA,30,7M12 (24/03/2025 - 26/07/2025),Sábado 08:00 às 09:50,,2,2
PPGEST0018,ESTÁGIO DE DOCÊNCIA NO ENSINO DE GRADUAÇÃO EM ESTATÍSTICA,04,2025.1,FELIPE SOUSA QUINTINO,30,7M12 (24/03/2025 - 26/07/2025),Sábado 08:00 às 09:50,,2,2
PPGEST0018,ESTÁGIO DE DOCÊNCIA NO ENSINO DE GRADUAÇÃO EM ESTATÍSTICA,05,2025.1,FREDERICO MACHADO ALMEIDA,30,7M12 (24/03/2025 - 26/07/2025),Sábado 08:00 às 09:50,,2,2
PPGEST0018,ESTÁGIO DE DOCÊNCIA NO ENSINO DE GRADUAÇÃO EM ESTATÍSTICA,06,2025.1,CIRA ETHEOWALDA GUEVARA OTINIANO,30,7M12 (24/03/2025 - 26/07/2025),Sábado 08:00 às 09:50,,1,1
PPGEST0018,ESTÁGIO DE DOCÊNCIA NO ENSINO DE GRADUAÇÃO EM ESTATÍSTICA,07,2025.1,EDUARDO YOSHIO NAKANO,30,7M12 (24/03/2025 - 26/07/2025),Sábado 08:00 às 09:50,,1,1
PPGEST0020,MÉTODOS DE PESQUISA EM ESTATÍSTICA,01,2025.1,ALAN RICARDO DA SILVA,30,3T23,Terça-feira 14:00 às 15:50,,20,15
PPGEST0021,ANÁLISE DE SOBREVIVÊNCIA,01,2025.1,EDUARDO YOSHIO NAKANO,60,24M12 (24/03/2025 - 26/07/2025),Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50,,20,12
PPGEST0024,TÓPICOS ESPECIAIS EM ESTATÍSTICA 2,01,2025.1,RAUL YUKIHIRO MATSUSHITA,60,5M1234 (24/03/2025 - 26/07/2025),Quinta-feira 08:00 às 11:50,,20,8
PPGEST0026,DELINEAMENTO E ANÁLISE DE EXPERIMENTOS,01,2025.1,EDUARDO MONTEIRO DE CASTRO GOMES,60,24M12 (24/03/2025 - 26/07/2025),Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50,,20,15
PPGEST0040,GEOESTATÍSTICA,01,2025.1,ALAN RICARDO DA SILVA,30,6M34 (24/03/2025 - 26/07/2025),Sexta-feira 10:00 às 11:50,,20,9
PPGEST2215,TÓPICOS ESPECIAIS EM ESTATÍSTICA 1,01,2025.1,FELIPE SOUSA QUINTINO,60,24T45 (24/03/2025 - 26/07/2025),Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50,,20,10
PPGEST2216,TÉCNICAS COMPUTACIONAIS EM ESTATÍSTICA,01,2025.1,HELTON SAULO BEZERRA DOS SANTOS,60,3M1234 (24/03/2025 - 26/07/2025),Terça-feira 08:00 às 11:50,,20,12
PPGEST3982,ESTATÍSTICA MATEMÁTICA,01,2025.1,ROBERTO VILA GABRIEL,60,24M34 (24/03/2025 - 26/07/2025),Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50,,25,21
