codigo,nome
EST106755,Computação em Estatística 1
EST106763,Computação em Estatística 2
EST106771,Estatística Computacional
EST106780,Inferência Bayesiana
EST107344,Métodos Estatísticos 2
MAT113034,Cálculo 1
MAT113042,Cálculo 2
MAT113051,Cálculo 3
MAT113093,Introdução à Álgebra Linear
MAT113417,Cálculo Numérico
MAT113824,Cálculo de Probabilidade 1
MAT113832,Cálculo de Probabilidade 2
CIC113913,Introdução à Ciência da Computação
EST115118,Estatística Exploratória
EST115151,Inferência Estatística
EST115169,Técnicas de Amostragem
EST115177,Análise de Regressão Linear
EST115185,Análise Multivariada 1
EST115193,Delineamento e Análise de Experimentos 1
EST115223,Demografia
EST115240,Processos Estocásticos
EST115258,Análise de Séries Temporais
EST115894,Análise de Dados Categorizados
EST115908,Trabalho de Conclusão de Curso 2
EST115924,Introdução a Probabilidade
EST115932,Métodos Estatísticos 1
EST115983,Trabalho de Conclusão de Curso 1
EST106798,Técnicas de Amostragem 2
EST106801,Estatística Espacial
EST106810,Laboratório de Estatística 1
EST106828,Laboratório de Estatística 2
EST106836,Consultoria
EST106844,Modelos Lineares Generalizados
EST106852,Análise de Séries Temporais 2
EST106861,Demografia 2
EST106879,Teoria de Resposta ao Item
EST106887,Tópicos em Estatística 1
EST106895,Modelos Lineares
EST107352,Análise Multivariada 2
EST115207,Delineamento e Análise de Experimentos 2
EST115215,Controle Estatístico de Qualidade
EST115231,Aplicações da Estatística 1
EST115266,História da Estatística
EST115274,Pesquisa Operacional 1
EST115282,Pesquisa Operacional 2
EST115916,Estatística Exploratória 2
EST115941,Métodos Aplicados
EST115959,Medidas de Informação e Aplicações
EST115967,Tópicos em Estatística 2
EST206377,Análise de Sobrevivência
EST206369,Introd à Inferência Bayesiana
