ch_disciplina,id_disciplina,id_docente,preferencia
60.0,EST0005_01,docente_13,0
nan,EST0001_01,docente_07,3
nan,EST0019_04,docente_17,3
nan,EST0019_06,docente_16,3
nan,EST0011_01,docente_28,3
nan,EST0023_10,docente_25,3
nan,EST0069_03,docente_21,3
nan,EST0019_09,docente_06,3
nan,EST0070_01,docente_08,3
nan,EST0088_01,docente_02,2
nan,EST0086_01,docente_12,3
nan,EST0038_01,docente_23,3
nan,EST0035_01,docente_04,3
nan,EST0124_01,docente_08,2
nan,EST0019_01,docente_28,3
nan,EST0001_02,docente_07,3
nan,EST0091_01,docente_08,2
nan,EST0017_01,docente_09,3
nan,EST0019_10,docente_10,3
nan,EST0023_04,docente_07,3
nan,EST0051_01,docente_26,3
nan,EST0023_05,docente_11,3
nan,EST0027_01,docente_24,3
nan,EST0019_03,docente_22,3
nan,EST0019_08,docente_02,3
nan,EST0064_01,docente_23,3
nan,EST0033_01,docente_07,3
nan,EST0023_03,docente_09,3
nan,EST0036_01,docente_01,3
nan,EST0092_01,docente_18,3
nan,EST0046_01,docente_25,1
nan,EST0042_01,docente_19,3
nan,EST0023_02,docente_13,3
nan,EST0081_01,docente_20,3
nan,EST0069_01,docente_15,3
nan,EST0004_01,docente_14,3
nan,EST0048_01,docente_11,3
nan,EST0023_09,docente_15,3
nan,EST0023_01,docente_17,3
nan,EST0027_02,docente_13,3
nan,EST0023_07,docente_26,3
nan,EST0023_08,docente_15,3
nan,EST0019_05,docente_06,3
nan,EST0023_06,docente_05,3
nan,EST0023_11,docente_26,3
nan,EST0019_07,docente_24,3
nan,EST0019_02,docente_10,3
